sqft	bedrooms	age	price
1442	3	21	169166
1176	3	3	122385
1441	3	28	160119
1041	4	29	177774
1100	3	11	166241
1290	3	23	138306
1369	3	2	187264
1274	4	12	147760
1458	3	19	119975
1447	1	5	151488
1732	3	10	177603
1326	3	22	139767
1648	3	3	186345
1580	2	19	136890
1923	4	15	140973
1318	4	6	128617
1244	2	21	180511
1664	4	28	158402
1446	2	10	130607
1670	2	23	148113
1529	2	0	67865
823	2	25	183339
1444	4	28	154877
1427	2	26	87812
1383	2	6	116299
1316	2	11	147352
951	2	6	120574
1568	2	26	183800
1443	3	22	172557
1625	2	6	170786
965	4	9	81869
1476	4	29	144236
1291	1	15	139071
1385	4	25	131378
1294	1	7	147544
1485	2	8	126212
1309	1	8	166456
1087	3	1	182996
1371	3	12	180411
1296	3	12	155862
1329	3	22	219977
553	3	22	194199
1520	2	3	156953
1271	3	24	145531
1012	2	23	200140
1580	2	11	190227
1509	2	16	117687
1268	2	1	192574
1061	3	12	155368
1394	4	28	134172
1380	2	17	100623
1581	3	27	151932
1239	3	27	159633
1648	4	26	207619
1214	2	14	188717
1013	3	7	142513
1066	4	14	171680
1334	3	0	184787
1333	3	19	162578
1431	2	9	142385
1327	2	11	144034
1594	3	4	171564
1284	3	8	172389
850	2	22	151211
1319	3	7	81425
848	3	15	121284
1417	3	13	178590
1614	3	26	96074
1103	4	24	195525
1704	3	12	191084
1560	4	22	161232
1651	2	20	177937
1397	2	12	175863
1101	2	4	156493
1545	2	15	118783
1193	2	25	189018
1379	2	10	202216
1307	4	21	123742
1631	2	4	117662
1532	3	12	155896
1329	1	27	141213
862	4	10	164348
1191	3	24	196239
1526	1	18	92629
1420	3	2	207438
974	3	14	147799
898	3	6	175353
1398	3	6	178561
1085	3	5	182060
1109	3	2	161857
1518	3	29	168866
1650	1	12	168670
1162	4	6	141091
1338	3	4	107258
1331	3	22	123424
1308	1	17	156872
1360	3	21	136395
1539	4	29	136465
1181	2	7	213977
968	3	16	185766
1772	3	19	152437
1622	4	26	180161
1074	3	0	147391
1383	3	13	163321
1602	4	16	173248
1537	3	9	147471
1465	2	11	139442
1307	2	15	196717
1781	3	13	178423
1405	2	29	92361
1221	2	26	139955
1567	4	15	136561
1374	2	7	141365
1437	3	22	185872
1400	2	27	160576
1474	3	9	118311
1105	3	28	148503
987	1	16	176252
1708	3	26	153410
1412	2	29	140659
1542	4	28	169936
910	4	17	208545
1616	3	19	173842
1219	3	15	199028
1148	3	16	142671
1334	3	15	159749
1105	3	18	159143
1349	2	23	163560
1315	3	23	173215
1615	2	7	132430
1728	3	5	179419
1720	1	5	111163
783	3	20	119927
1116	2	28	224068
781	2	8	144696
1051	3	3	181885
1187	4	25	210948
1452	3	11	90566
1220	2	27	193787
1226	2	11	179468
1395	4	22	209211
922	3	16	124554
1140	2	14	203537
1224	4	8	137817
1299	4	6	191643
1369	4	9	158919
1725	4	15	183123
1577	4	11	161466
1157	2	24	104817
1284	2	6	66383
1267	3	17	166297
1221	3	14	152087
1418	3	5	171946
885	3	25	152435
1570	3	11	220542
1773	3	10	166916
1282	1	19	146591
1277	2	2	170120
1389	3	1	147139
1604	3	5	162787
1268	2	23	123475
1583	3	21	159742
1472	3	24	145664
1940	3	29	126317
1267	1	4	219272
855	3	17	127487
991	2	15	160208
1352	4	7	135915
1606	2	24	168911
1186	3	29	121768
1292	2	25	185210
1521	3	19	221084
1108	3	21	134813
1197	2	10	196509
1058	3	9	148543
1644	2	23	205173
1735	3	24	225654
955	3	11	152988
1314	3	20	114392
1701	4	27	188442
1449	3	5	166732
1227	3	26	175053
963	1	19	149804
1638	3	4	133465
1440	3	22	194810
981	2	8	169593
1647	4	25	116693
949	2	26	180606
1294	4	28	174585
1283	2	15	150241
1754	4	21	208594
1284	3	13	141454
1283	2	21	154930
1009	2	7	183059
1189	3	26	162302
1145	4	19	118467
1158	2	18	165513
1351	2	13	147568
741	3	6	185709
972	3	4	164536
1322	3	17	162835
1380	3	1	128552
1291	2	10	153099
1339	4	21	189103
1247	3	7	136703
1345	2	0	159023
1458	3	26	131906
1456	3	21	124484
1177	3	11	157454
1578	3	1	165214
1389	2	17	219815
1658	3	6	146336
1708	4	25	158494
989	2	16	122497
1135	3	21	178367
1553	4	29	171942
933	4	22	204651
1705	3	13	193348
1264	3	23	170542
1493	3	6	145897
1320	4	21	166140
1001	4	24	156669
1613	2	28	188601
2037	3	2	184786
1221	3	26	151107
1269	3	5	116140
687	3	19	200001
1687	3	1	177456
1577	4	16	150415
916	2	11	176286
833	2	11	162245
862	3	29	199558
1511	3	16	102106
1536	1	26	148084
1119	2	9	207971
1474	3	2	176895
1389	4	19	213178
1258	3	17	123345
1592	3	12	192165
1048	2	11	190366
1636	3	26	109548
1167	3	26	151134
1795	3	29	156804
1098	2	26	111413
1262	2	16	151761
1364	2	3	186195
1363	3	22	148272
1472	4	9	167263
1028	4	10	167481
1340	3	5	159635
1384	3	5	138844
1218	4	26	179764
1451	2	8	112388
1013	3	29	160257
1268	4	14	201564
1161	3	1	146578
1269	4	3	138180
1711	4	4	181765
1716	3	16	164902
1667	4	7	182363
1234	3	7	161154
1576	3	21	88351
1378	3	11	195397
1361	2	20	222100
1330	3	7	198521
1789	3	18	53834
1691	2	2	173532
1536	1	17	145997
1307	2	20	127472
1359	3	18	163681
